Year,Month,Day,Hour,Minute,Occupancy
2018,1,13,16,23,Empty
2018,2,9,14,18,Empty
2018,2,9,15,15,Empty
2018,1,22,18,43,Occupied
2018,1,22,18,48,Occupied
2018,1,22,21,35,Occupied
2018,1,23,0,16,Empty
2018,1,27,4,28,Empty
2018,1,27,5,3,Empty
2018,2,13,20,4,Empty
2018,2,13,20,20,Occupied
2018,1,26,14,49,Occupied
2018,2,10,23,49,Empty
2018,2,10,23,54,Occupied
2018,2,11,0,6,Empty
2018,2,11,1,40,Occupied
2018,2,11,2,0,Empty
2018,1,29,14,13,Empty
2018,1,20,9,25,Empty
2018,2,14,19,28,Empty
2018,2,14,19,56,Occupied
2018,2,14,20,47,Empty
2018,2,14,21,11,Occupied
2018,2,8,18,59,Occupied
2018,2,8,19,16,Empty
2018,2,8,20,37,Occupied
2018,2,8,21,10,Occupied
2018,1,20,12,53,Occupied
2018,1,20,14,27,Occupied
2018,1,20,15,21,Occupied
2018,2,9,6,18,Empty
2018,1,28,15,52,Empty
2018,2,9,15,21,Empty
2018,2,9,16,26,Empty
2018,2,9,17,32,Empty
2018,1,26,21,18,Occupied
2018,1,29,20,10,Occupied
2018,1,29,20,16,Empty
2018,1,29,21,13,Occupied
2018,1,29,22,17,Occupied
2018,1,29,22,59,Empty
2018,2,9,2,39,Empty
2018,1,13,5,45,Empty
2018,1,27,11,4,Empty
2018,1,27,11,41,Empty
2018,1,27,11,59,Empty
2018,1,27,13,5,Empty
2018,1,27,13,40,Empty
2018,1,13,9,7,Empty
2018,1,13,10,49,Empty
2018,1,13,11,33,Occupied
2018,1,15,11,50,Empty
2018,1,15,11,56,Empty
2018,1,15,12,42,Occupied
2018,1,15,13,13,Empty
2018,1,15,14,18,Empty
2018,1,15,15,1,Empty
2018,2,12,16,17,Empty
2018,2,12,17,44,Empty
2018,2,14,20,12,Occupied
2018,2,14,20,18,Empty
2018,2,14,20,41,Occupied
2018,2,11,14,4,Occupied
2018,1,29,22,23,Empty
2018,1,29,22,29,Empty
2018,1,29,22,53,Empty
2018,2,15,8,1,Empty
2018,1,30,12,49,Empty
2018,1,30,13,1,Empty
2018,1,30,13,7,Empty
2018,1,30,13,48,Empty
2018,1,30,13,54,Occupied
2018,1,30,14,6,Empty
2018,1,30,6,5,Empty
2018,1,30,6,55,Empty
2018,1,7,16,55,Empty
2018,1,7,18,1,Empty
2018,1,7,19,2,Empty
2018,1,7,21,14,Empty
2018,1,7,22,9,Empty
2018,1,7,22,15,Empty
2018,1,15,6,40,Empty
2018,1,15,7,22,Empty
2018,2,10,12,28,Empty
2018,2,10,14,11,Empty
2018,2,10,14,18,Empty
2018,1,15,16,19,Empty
2018,1,15,17,51,Empty
2018,1,15,19,4,Empty
2018,1,15,19,16,Occupied
2018,1,20,17,48,Empty
2018,1,20,19,2,Occupied
2018,1,6,9,52,Occupied
2018,1,6,12,51,Empty
2018,2,7,7,12,Empty
2018,2,7,8,6,Empty
2018,1,27,6,8,Empty
2018,1,27,6,22,Empty
2018,1,27,3,15,Empty
2018,1,27,3,51,Empty
2018,1,27,3,57,Empty
2018,1,27,5,30,Empty
2018,2,16,8,9,Empty
2018,2,16,8,45,Empty
2018,2,16,9,34,Empty
2018,2,16,10,15,Empty
2018,2,16,10,20,Occupied
2018,2,16,10,56,Empty
2018,2,7,6,1,Empty
2018,2,7,6,52,Empty
2018,2,7,7,18,Empty
2018,2,7,8,24,Empty
2018,2,7,8,49,Empty
2018,1,29,15,41,Empty
2018,1,29,15,47,Empty
2018,1,23,20,56,Occupied
2018,1,23,21,7,Occupied
2018,1,23,21,45,Occupied
2018,1,23,22,6,Occupied
2018,2,8,12,35,Occupied
2018,1,5,12,59,Occupied
2018,1,5,14,54,Empty
2018,1,5,15,6,Empty
2018,1,5,15,49,Empty
2018,1,5,16,34,Empty
2018,1,15,19,45,Occupied
2018,1,15,19,50,Occupied
2018,1,15,19,56,Empty
2018,1,15,20,20,Empty
2018,1,15,20,57,Empty
2018,1,15,22,44,Empty
2018,1,15,23,38,Empty
2018,1,22,13,5,Empty
2018,1,22,13,12,Empty
2018,1,22,15,2,Occupied
2018,2,6,14,56,Occupied
2018,2,13,5,41,Occupied
2018,2,13,6,7,Occupied
2018,1,23,10,13,Empty
2018,1,23,11,7,Empty
2018,1,23,11,19,Empty
2018,2,14,16,26,Empty
2018,2,14,17,32,Occupied
2018,1,23,12,2,Empty
2018,1,23,12,44,Empty
2018,2,14,4,41,Empty
2018,1,19,20,2,Empty
2018,1,30,2,55,Empty
2018,1,30,5,22,Empty
2018,1,28,23,50,Empty
2018,1,29,0,23,Empty
2018,1,29,0,50,Empty
2018,1,29,0,57,Empty
2018,1,29,1,25,Empty
2018,1,29,2,42,Empty
2018,1,23,4,24,Empty
2018,1,23,5,11,Empty
2018,1,23,5,49,Empty
2018,2,8,10,5,Occupied
2018,2,8,10,58,Empty
2018,2,8,12,30,Empty
2018,2,8,12,41,Empty
2018,2,8,13,5,Empty
2018,2,8,13,18,Empty
2018,1,30,9,59,Empty
2018,1,23,22,21,Occupied
2018,1,7,10,45,Empty
2018,1,7,13,11,Empty
2018,1,7,15,25,Empty
2018,1,7,15,48,Empty
2018,1,7,16,7,Empty
2018,1,7,18,19,Empty
2018,1,7,19,20,Empty
2018,1,7,20,9,Empty
2018,1,7,20,27,Empty
2018,1,7,20,50,Empty
2018,1,7,21,20,Empty
2018,2,15,8,37,Empty
2018,2,11,9,28,Empty
2018,2,11,9,52,Empty
2018,1,23,11,37,Empty
2018,1,19,22,33,Empty
2018,1,19,22,40,Empty
2018,1,19,22,46,Empty
2018,1,19,23,15,Occupied
2018,1,19,23,30,Empty
2018,1,20,2,25,Empty
2018,1,20,3,28,Empty
2018,1,20,3,44,Empty
2018,2,14,16,20,Empty
2018,2,14,17,15,Empty
2018,2,6,19,32,Occupied
2018,2,6,19,38,Empty
2018,2,6,21,25,Empty
2018,2,6,22,24,Empty
2018,2,6,22,40,Occupied
2018,2,14,18,26,Occupied
2018,2,14,18,37,Occupied
2018,2,14,18,59,Empty
2018,2,14,19,33,Occupied
2018,1,23,0,28,Empty
2018,1,23,0,39,Occupied
2018,1,23,1,17,Empty
2018,1,23,1,28,Occupied
2018,1,23,1,56,Occupied
2018,1,23,2,3,Empty
2018,2,16,13,16,Empty
2018,2,13,16,38,Empty
2018,2,13,17,51,Empty
2018,1,23,6,7,Empty
2018,1,23,7,27,Empty
2018,1,23,7,40,Empty
2018,1,23,13,6,Occupied
2018,1,23,13,17,Occupied
2018,1,14,17,11,Empty
2018,1,14,17,41,Empty
2018,1,20,9,13,Empty
2018,1,20,11,29,Empty
2018,2,16,12,23,Occupied
2018,1,15,7,29,Empty
2018,1,15,7,48,Empty
2018,2,7,13,14,Occupied
2018,2,13,13,50,Empty
2018,2,6,20,9,Occupied
2018,2,6,20,15,Empty
2018,2,6,23,32,Occupied
2018,2,6,23,37,Occupied
2018,2,6,21,19,Empty
2018,2,6,22,35,Empty
2018,2,7,0,20,Empty
2018,2,7,1,3,Empty
2018,1,30,14,30,Occupied
2018,1,30,14,36,Empty
2018,2,9,21,57,Occupied
2018,1,26,12,56,Empty
2018,2,14,5,41,Empty
2018,2,14,7,12,Empty
2018,2,14,7,43,Empty
2018,2,14,7,49,Empty
2018,2,14,8,30,Empty
2018,2,9,12,27,Occupied
2018,2,9,12,43,Occupied
2018,2,9,12,49,Empty
2018,1,22,14,41,Occupied
2018,1,22,15,8,Empty
2018,1,22,15,32,Empty
2018,2,7,17,18,Empty
2018,2,7,18,18,Empty
2018,1,23,23,23,Empty
2018,1,23,23,49,Occupied
2018,1,24,1,7,Empty
2018,1,24,3,2,Empty
2018,1,6,8,10,Empty
2018,1,6,8,29,Empty
2018,1,6,8,41,Empty
2018,1,6,9,41,Empty
2018,2,11,12,22,Occupied
2018,2,11,12,11,Empty
2018,2,11,13,43,Occupied
2018,2,11,13,48,Occupied
2018,2,11,13,54,Occupied
2018,1,14,18,33,Empty
2018,1,14,18,39,Empty
2018,1,14,19,4,Empty
2018,1,14,19,40,Empty
2018,1,14,23,14,Empty
2018,1,14,23,20,Empty
2018,1,14,23,58,Empty
2018,1,21,17,54,Occupied
2018,1,21,19,56,Occupied
2018,1,21,20,22,Occupied
2018,1,21,20,32,Occupied
2018,2,16,15,22,Empty
2018,2,16,16,17,Empty
2018,2,16,17,55,Empty
2018,2,16,18,45,Empty
2018,1,20,11,41,Empty
2018,1,20,13,16,Empty
2018,1,20,13,40,Empty
2018,1,20,14,9,Empty
2018,1,20,14,21,Empty
2018,2,14,7,6,Empty
2018,2,14,8,7,Empty
2018,1,12,19,32,Empty
2018,1,12,20,39,Occupied
2018,1,12,21,43,Occupied
2018,1,12,22,10,Occupied
2018,1,5,13,21,Empty
2018,1,5,14,30,Empty
2018,1,5,14,42,Empty
2018,1,6,15,53,Empty
2018,1,6,16,5,Empty
2018,1,6,18,43,Empty
2018,1,6,19,26,Empty
2018,1,6,19,32,Empty
2018,2,8,4,54,Empty
2018,2,10,17,36,Occupied
2018,2,10,18,14,Occupied
2018,1,29,23,40,Empty
2018,2,16,2,6,Empty
2018,2,16,3,20,Empty
2018,2,16,4,9,Empty
2018,2,16,8,52,Empty
2018,1,22,12,54,Occupied
2018,1,22,13,23,Empty
2018,1,22,14,25,Occupied
2018,2,11,13,3,Empty
2018,2,11,13,38,Occupied
2018,1,5,11,30,Empty
2018,1,5,12,30,Empty
2018,1,5,12,53,Occupied
2018,2,10,23,4,Occupied
2018,2,11,13,26,Occupied
2018,2,11,14,58,Empty
2018,1,24,0,1,Occupied
2018,2,11,9,46,Empty
2018,2,11,10,10,Empty
2018,1,12,21,32,Occupied
2018,1,12,22,43,Occupied
2018,1,12,23,19,Occupied
2018,1,23,10,0,Empty
2018,1,23,11,1,Empty
2018,1,23,11,25,Empty
2018,1,28,19,17,Empty
2018,1,28,19,23,Empty
2018,1,28,20,34,Occupied
2018,1,28,20,57,Occupied
2018,1,28,22,38,Empty
2018,1,28,23,5,Occupied
2018,2,11,8,34,Empty
2018,1,6,9,29,Empty
2018,1,6,10,56,Empty
2018,1,6,11,26,Empty
2018,1,6,13,15,Empty
2018,1,6,13,22,Empty
2018,1,29,2,49,Empty
2018,1,29,2,56,Empty
2018,1,29,4,34,Empty
2018,1,29,5,2,Empty
2018,2,13,19,31,Occupied
2018,2,13,20,14,Occupied
2018,2,13,20,40,Occupied
2018,2,13,20,51,Empty
2018,2,13,22,41,Occupied
2018,2,6,20,20,Occupied
2018,2,6,21,42,Occupied
2018,2,6,23,4,Empty
2018,2,7,0,14,Empty
2018,2,7,0,57,Empty
2018,2,7,1,36,Empty
2018,2,13,15,41,Empty
2018,2,13,16,56,Empty
2018,1,27,2,4,Empty
2018,2,6,18,59,Occupied
2018,2,6,21,0,Empty
2018,2,15,6,41,Empty
2018,2,11,12,57,Empty
2018,2,11,14,45,Empty
2018,2,11,15,51,Occupied
2018,1,21,9,16,Empty
2018,1,21,11,24,Empty
